Team Name,Games,Goals,Goals Conceded,NP xG,NP xG Against,Shots,SP xG,SP xG Against,Corner xG,Corner xG Against,Passing%,Passes Inside Box,Successful Box Cross%,Dribble%,Deep Progressions,PPDA,Aggression,Counterpressures,Possession%
South Shields,27,94,93,93,76,71,17,81,23,83,83,77,24,60,91,70,56,96,64
Worthing FC,28,95,59,95,64,82,85,83,87,85,81,95,18,61,78,89,80,99,62
Fylde,25,93,67,91,66,82,69,40,85,39,79,76,15,58,77,90,73,96,62
Dorking Wanderers FC,27,82,64,93,57,85,94,33,94,36,69,91,82,57,77,91,54,96,57
Merthyr Town FC,25,93,28,87,24,80,72,35,88,45,80,71,7,60,43,9,19,91,57
Macclesfield Town,23,71,47,68,65,60,60,51,56,59,72,62,26,63,60,62,23,87,57
Torquay United,26,87,67,76,44,75,86,14,61,27,72,81,28,61,66,49,14,84,56
King's Lynn Town FC,24,55,55,71,64,67,86,64,82,86,71,68,37,65,84,94,46,94,56
Buxton,26,87,41,71,54,37,74,18,72,23,73,50,72,58,55,64,57,83,55
Southport,27,52,30,25,31,58,29,38,32,63,74,57,22,61,56,71,35,76,55
Ebbsfleet United,26,57,85,76,71,72,70,58,78,60,72,77,79,57,66,50,35,85,55
Chippenham Town,27,31,21,49,22,46,36,19,18,36,75,81,39,59,61,29,17,97,54
Kidderminster Harriers,25,58,70,76,82,71,94,57,49,60,64,77,45,63,44,97,77,98,53
Salisbury,29,18,45,57,31,61,47,17,41,17,71,32,26,61,47,61,34,97,53
AFC Totton,27,61,22,61,29,58,72,23,75,19,70,61,22,59,42,54,18,88,52
Eastbourne Borough,28,31,16,64,19,51,91,15,89,28,65,57,61,61,46,91,69,97,52
Maidenhead United,26,65,84,67,63,53,68,11,57,38,68,63,85,57,73,52,41,94,52
Peterborough Sports FC,25,37,18,64,16,50,30,14,34,12,67,77,67,62,39,66,27,90,51
Chelmsford City,26,50,60,63,67,51,83,16,74,22,65,72,22,60,35,73,38,93,51
AFC Telford United,24,91,40,89,39,81,47,18,56,49,74,77,36,64,50,46,59,92,50
Chesham United FC,26,34,73,64,57,43,92,45,92,55,68,84,19,63,32,36,18,95,50
Darlington,26,86,29,91,29,88,82,17,53,35,69,86,67,59,49,37,19,92,50
League Average,26.125,61,45,69,36,54,77,24,68,34,68,67,43,60,40,49,32,93,50
Hemel Hempstead Town,27,39,85,60,51,26,71,28,18,63,60,63,47,63,30,84,42,95,49
Hereford FC,20,39,30,77,16,85,74,6,66,7,68,50,60,63,38,46,41,86,49
Horsham FC,29,57,71,61,60,26,28,23,20,27,71,46,34,52,27,11,22,80,49
Maidstone United,26,57,87,69,63,47,72,73,81,84,63,81,68,63,57,73,46,97,49
AFC Hornchurch,26,84,57,93,23,85,97,18,91,37,63,86,27,56,33,36,8,91,49
Scarborough Athletic,27,61,55,44,26,13,75,16,80,39,65,26,49,59,28,39,42,96,49
Chester,28,58,31,71,50,72,84,44,81,63,67,70,84,58,39,27,12,90,48
Radcliffe,28,87,23,85,32,88,96,48,97,29,65,74,34,59,49,64,46,84,48
Weston-super-Mare AFC,24,72,84,76,79,47,81,63,60,53,68,49,48,63,53,19,11,92,48
Dagenham & Redbridge,29,53,65,53,69,63,80,75,86,70,66,77,61,56,29,29,51,88,47
Farnborough,28,49,17,58,8,29,90,5,62,5,65,50,75,55,30,54,40,94,47
Spennymoor Town,25,61,25,63,42,55,59,36,40,43,67,40,64,64,35,6,11,79,47
Worksop Town FC,27,43,24,76,13,60,94,9,89,15,60,93,77,55,45,65,37,94,47
Chorley,23,80,35,72,36,61,97,47,88,46,59,89,24,71,32,53,29,88,46
Hampton & Richmond,26,31,29,13,14,16,56,7,16,14,63,30,20,62,9,41,44,97,46
Curzon Ashton FC,24,72,24,68,19,50,46,22,49,17,68,54,35,54,25,13,6,82,46
Slough Town FC,26,63,21,60,17,44,82,7,68,7,62,40,41,64,47,45,24,91,45
Tonbridge Angels FC,29,62,33,43,38,22,79,58,89,65,65,24,43,60,11,30,22,95,45
Oxford City,26,57,29,38,14,7,10,16,21,50,71,49,19,64,8,11,40,86,45
Marine,27,49,43,70,54,56,78,21,44,52,56,49,18,58,18,65,58,96,45
Dover Athletic,27,55,45,40,17,21,58,10,48,14,56,67,40,59,13,46,27,93,44
Bath City,26,34,54,40,50,24,77,25,72,16,57,40,12,53,8,53,49,98,44
Enfield Town FC,27,34,21,56,15,36,67,5,57,10,57,55,91,64,9,24,15,94,42
Alfreton Town,25,14,17,18,31,18,88,25,51,47,56,47,30,54,4,27,13,69,41
Bedford Town,28,74,22,47,14,33,91,7,23,11,57,25,48,64,8,26,20,73,40
Leamington FC,23,11,22,15,9,18,59,8,19,10,55,31,49,60,4,11,20,79,40
