Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
A . Grout,Eastbourne Borough,2027,Right Centre Midfielder,Right Attacking Midfielder,England,,0.04,0.07,25,0.04,0.1,0.89,0.93,0.62,67,1.38,1.91,0.71,8.3,6.66,12.03,2,45,0,19.67,6.48,1.78,67,2.62,90,7.9,1.86,29,32
A. Nasta,AFC Hornchurch,2671,Goalkeeper,,England,20,0,0,,0,0,0,0,0,,0.03,0,0.07,0,5.69,4.18,0,,0.1,0,0,0,40,1.15,100,0.54,0,0,
A.Lafleur,Chesham United FC,811,Left Wing Back,Left Centre Back,England,26,0.11,0.05,10,0.11,0.09,0.67,1.44,0.67,46,0.55,1.78,2,5.77,5.1,9.77,3,38,0,12.43,3.55,1,64,3.77,96,9.43,2.33,25,20
A.Young,Chesham United FC,2481,Centre Back,Left Centre Back,England,29,0.04,0.05,33,0,0,0.07,0.4,0.33,82,0.33,0.36,3.3,3.12,4.21,9.65,1.34,56,0.11,5.88,1.02,0.54,90,0.98,99,1.34,0.87,0,
Aaron Cosgrave,Ebbsfleet United,1254,Centre Forward,Left Centre Forward,England,26,0.14,0.25,35,0,0.04,0.72,1.01,0.57,57,3.09,4.59,0,9.26,5.74,2.8,0.57,6,0,25.13,5.17,1.44,77,1.29,69,7.18,5.74,0,0
Aaron Henry,AFC Hornchurch,607,Right Defensive Midfielder,Centre Defensive Midfielder,England,22,0.15,0.07,21,0.15,0.12,1.63,0,0,,0.74,0.3,1.93,7.71,6.08,14.24,2.97,45,0,15.42,4.6,1.33,63,5.78,97,7.86,0,14,30
Aaron Lacey,Hampton & Richmond,471,Right Centre Back,Right Back,England,19,0.38,0.05,60,0,0,0,1.15,0.77,67,0.19,0.96,2.87,4.97,5.93,16.07,2.87,63,0,12.24,2.87,1.34,62,2.1,95,3.83,2.49,0,0
Adam Crowther,Chelmsford City,325,Left Centre Back,Centre Attacking Midfielder,England,25,0.28,0.09,100,0.28,0.15,0.28,0,0,,0.55,0,6.65,3.32,3.32,13.57,1.66,64,0,6.92,1.38,0.28,80,2.49,99,2.77,1.38,0,0
Adam Desbois,Slough Town FC,2698,Goalkeeper,,England,25,0,0,,0.03,0.01,0.07,0.03,0.03,100,0,0,0.07,0,6.84,5.14,0,100,0.07,0.03,0.03,0,39,3.47,100,1.9,0.03,0,
Adam Thompson,Enfield Town FC,2241,Centre Back,Right Centre Back,Northern Ireland,33,0.04,0.03,14,0.04,0.02,0.28,0.08,0.08,100,0.04,0.16,7.63,5.5,6.02,17.07,2.29,71,0,8.76,1.85,0.64,63,1.25,99,1.85,1.41,0,50
Adebayo Azeez,Hemel Hempstead Town,636,Centre Forward,Left Centre Forward,England,32,0,0.13,0,0,0.01,0.14,0.71,0.14,20,2.26,4.38,0.28,4.81,4.38,1.84,0.71,29,0,15.13,6.08,1.7,61,0.42,60,3.54,3.96,,0
Alan Massey,Hampton & Richmond,1952,Centre Back,Left Centre Back,England,37,0,0.04,45,0.05,0.02,0.18,0.23,0.14,60,0.18,0.18,8.9,4.89,5.81,14.29,1.61,60,0,7.79,1.52,0.55,67,0.97,99,1.75,1.71,0,0
Alex Fisher,Bath City,485,Centre Forward,Right Centre Forward,England,35,0.19,0.27,63,0.37,0.11,1.3,0.93,0.56,60,2.23,2.23,0.74,3.15,3.15,8.17,0.19,36,0,11.69,4.27,0.56,65,1.86,87,7.42,6.31,25,40
Alex Wilkie,Hampton & Richmond,550,Right Centre Back,Right Back,England,20,0,0.04,50,0,0.02,0.33,0.16,0.16,100,0.33,0.33,5.56,6.05,5.89,13.41,2.62,56,0,10.47,2.29,0.65,63,1.31,96,2.62,1.14,0,
Alexander Jon Babos,Chesham United FC,1830,Left Defensive Midfielder,Right Centre Midfielder,Wales,27,0.15,0.1,32,0,0.09,1.18,0.79,0.49,63,0.98,1.08,1.72,7.08,5.16,12.94,2.51,52,0,13.23,4.18,1.48,64,5.31,96,9.34,1.87,9,20
Alfie Jacob Matthews,Dover Athletic,1654,Left Centre Midfielder,Left Defensive Midfielder,England,24,0.22,0.08,24,0.11,0.1,1.2,0.82,0.6,73,1.03,1.41,2.29,4.9,3.54,10.56,0.93,37,0,10.39,2.88,0.54,55,4.03,91,6.42,0.98,10,27
Alfie Pavey,Tonbridge Angels FC,818,Centre Forward,Centre Attacking Midfielder,England,30,0.22,0.3,22,0.22,0.12,0.88,0.33,0.22,67,1.98,2.86,1.43,5.39,3.3,7.04,0.77,44,0,12.44,4.07,0.77,59,2.53,84,6.16,6.27,0,0
Alfie Rutherford,Dorking Wanderers FC,1500,Left Centre Forward,Right Centre Forward,England,27,0.36,0.4,36,0.18,0.19,1.44,0.96,0.42,44,2.34,2.52,0.84,2.64,3.12,3.9,0.78,52,0,9.3,2.4,0.84,59,1.74,82,6.96,7.2,31,42
Alfie Tuck,Hampton & Richmond,592,Left Defensive Midfielder,Centre Defensive Midfielder,Wales,20,0.15,0.03,75,0,0.09,1.22,1.22,0.91,75,0.61,1.06,2.13,10.5,5.48,15.97,2.59,58,0,15.21,3.35,0.76,70,3.65,97,5.93,0.15,0,0
Alfie Williams,Chesham United FC,1762,Left Wing Back,Left Centre Midfielder,England,23,0,0.05,27,0.1,0.12,1.17,0.87,0.46,53,1.07,1.12,1.43,8.17,5.67,11.34,2.71,43,0,14.41,4.65,1.38,60,3.47,96,8.38,1.33,33,34
Alfie-John Terence Allen,Tonbridge Angels FC,631,Right Centre Midfielder,Left Centre Midfielder,England,23,0.14,0.03,50,0,0.05,1,0.57,0.57,100,1,1.85,2.14,8.12,6.98,10.12,4.13,40,0,14.25,4.99,1.14,66,4.28,92,8.12,0.43,25,20
Ali Omar,Farnborough,364,Left Centre Back,Left Back,England,26,0,0.09,0,0.25,0.1,0.74,0,0,,0.74,0.25,7.68,5.69,4.46,16.09,4.95,67,0.25,7.18,0.5,0.25,58,2.48,97,2.72,0.25,22,50
Amir Hadi,Farnborough,1027,Left Wing,Right Wing,England,23,0.09,0.09,14,0.26,0.12,0.96,4.47,2.28,51,3.07,6.05,0.53,7.36,5.78,7.63,2.1,27,0,15.78,3.42,1.31,63,3.42,81,9.03,2.63,20,15
Andy Carroll,Dagenham & Redbridge,1030,Left Centre Forward,Right Centre Forward,England,37,0.52,0.3,24,0.17,0.18,1.49,0.7,0.61,88,1.75,3.49,2.45,4.54,3.32,7.6,1.05,66,0.09,10.92,3.23,1.05,66,2.97,85,8.82,7.43,0,30
Anointed Chukwa,Chippenham Town,1024,Right Centre Forward,Centre Forward,England,25,0.18,0.23,27,0,0.06,0.79,0.88,0.35,40,1.93,3.96,0.53,7.65,4.48,4.22,0.97,41,0.09,16.61,4.39,1.23,69,1.32,79,7.74,3.87,50,25
Ansu Jennah,Slough Town FC,479,Left Defensive Midfielder,Right Defensive Midfielder,Sweden,27,0,0.02,0,0.19,0.04,0.94,1.69,0.94,56,1.88,1.31,1.88,6.76,5.63,17.28,2.82,56,0.19,11.46,4.51,0.94,62,3.57,90,5.45,1.5,0,0
Antony Papadopoulos,Maidstone United,1500,Right Wing,Left Wing,England,23,0.12,0.11,31,0.3,0.3,2.04,1.56,0.96,62,1.74,1.98,1.14,7.8,5.4,9.12,2.52,56,0,13.56,3.36,1.2,68,3.36,91,11.88,3.6,17,31
Archie Tamplin,Chelmsford City,1128,Left Defensive Midfielder,Right Defensive Midfielder,England,23,0.08,0.14,33,0.08,0.16,0.88,1.52,0.8,53,1.44,2.39,1.76,7.98,5.27,11.89,3.91,58,0,16.68,4.63,1.36,63,2.79,90,7.66,1.92,33,33
Archy Taylor,Eastbourne Borough,672,Right Wing Back,Left Wing Back,England,22,0.13,0.08,22,0,0.04,0.8,0.54,0.13,25,1.34,1.34,1.61,6.96,4.95,11.65,2.14,50,0,14.73,4.69,0.94,67,3.62,95,10.18,4.15,29,21
Arthur Penney,Tonbridge Angels FC,2298,Left Centre Back,Centre Back,England,23,0,0.03,10,0,0,0.08,0.2,0.16,80,0.23,0.2,6.58,4.07,5.05,13.08,2.66,58,0,7.56,1.61,0.78,73,1.68,100,1.88,1.37,0,0
Asher Yearwood,Maidenhead United,1250,Right Defensive Midfielder,Right Centre Midfielder,England,28,0,0.09,19,0.07,0.19,1.44,0.5,0.43,86,1.51,0.94,1.94,9,6.48,13.54,3.02,56,0,16.92,5.54,1.94,76,3.24,96,11.81,3.02,17,36
Ashley Clarke,AFC Totton,1645,Left Wing,Left Midfielder,England,20,0.27,0.21,39,0.33,0.14,1.09,2.35,0.99,42,2.63,3.72,0.16,6.95,5.31,5.8,2.02,15,0,18.93,6.29,1.64,62,2.08,83,7.5,4.43,35,24
Avan Jones,Enfield Town FC,866,Right Wing Back,Right Back,England,24,0,0.12,7,0,0.02,0.42,0.21,0.1,50,0.1,1.25,5.19,6.13,5.82,9.45,2.39,35,0,13.92,2.91,1.14,46,1.87,93,3.22,2.08,33,31
B. Dolaghan,Worthing FC,1916,Centre Forward,Left Centre Forward,England,21,0.89,0.63,47,0.23,0.07,0.75,1.17,0.66,56,1.93,2.68,0.23,8.41,7.14,4.18,0.66,21,0,22.64,7.33,2.35,74,1.55,85,6.29,7.75,0,0
B.Goode,Chesham United FC,2714,Goalkeeper,,England,32,0,0,,0,0,0.03,0.07,0.07,100,0,0.03,0.1,0.03,5.97,4.54,0,0,0.07,0.03,0,0,52,2.52,100,1.39,0.03,0,
B.Leonard,Enfield Town FC,2533,Right Wing Back,Right Midfielder,England,24,0.11,0.06,32,0.14,0.19,1.28,0.71,0.25,35,0.6,1.56,1.92,5.93,4.19,9.1,2.24,49,0.04,12.83,2.88,0.82,49,2.45,94,6.04,1.74,49,34
B.Williams,Tonbridge Angels FC,1816,Right Back,Left Defensive Midfielder,England,24,0,0.03,29,0,0.05,0.45,0.94,0.64,68,1.19,0.84,4.36,6,6.14,12.09,3.27,66,0.05,10.7,2.48,0.94,70,5,96,6.64,0.5,0,14
Bailey Akehurst,Tonbridge Angels FC,1923,Left Back,Left Wing Back,England,22,0.09,0.05,31,0.14,0.13,1.12,1.36,0.66,48,0.94,1.36,4.68,8.42,7.63,10.44,4.07,59,0.05,14.37,3.32,0.8,58,3.88,94,6.04,0.7,21,21
Basil Tuma,Slough Town FC,483,Right Attacking Midfielder,Left Centre Midfielder,Malta,21,0.19,0.08,60,0,0.05,0.93,4.47,2.42,54,2.24,4.85,1.12,6.71,5.22,8.39,3.54,35,0,15.85,3.73,0.75,64,2.42,86,8.95,2.42,17,30
Bayley Brown,Enfield Town FC,1220,Left Centre Midfielder,Left Defensive Midfielder,England,29,0.07,0.1,43,0.07,0.01,0.07,0.74,0.59,80,1.7,2.29,2.43,7.82,5.46,10.48,2.51,58,0,14.68,4.28,1.18,63,2.21,87,5.24,1.99,0,0
Ben Chapman,Ebbsfleet United,2342,Left Wing Back,Centre Attacking Midfielder,England,27,0.12,0.07,33,0.15,0.14,1.08,1.58,0.81,51,1.69,1.81,1.46,7.38,6.38,10.72,2.34,36,0.04,15.1,3.3,1.42,64,5.19,93,13.79,2.54,46,24
Ben Coker,Ebbsfleet United,1325,Left Wing Back,Left Centre Back,England,36,0,0.04,17,0.14,0.1,1.15,0.34,0.2,60,0.54,0.41,2.04,5.3,3.6,8.49,1.77,61,0.07,9.31,1.7,0.48,71,3.74,97,10.33,2.31,32,26
Ben Tompkins,Chelmsford City,2069,Right Centre Back,Centre Back,England,21,0,0.04,25,0,0.01,0.09,0.3,0.3,100,0.39,0.26,8.7,4.26,5.87,15.75,3.05,77,0.04,8.48,1.74,0.74,66,2.57,98,3.18,1.52,0,0
Billy Clifford,Farnborough,1491,Right Defensive Midfielder,Right Centre Midfielder,England,33,0,0.05,25,0.06,0.08,1.15,1.27,0.91,71,1.75,1.81,1.27,7.42,5.25,12.49,3.2,33,0,14.06,3.8,1.21,72,6.64,94,12.8,1.21,14,32
Billy Phillips,Chippenham Town,574,Left Midfielder,Left Centre Forward,England,19,0.31,0.28,44,0,0.05,1.1,2.04,0.94,46,2.2,3.61,0.47,6.12,4.7,7.68,1.57,20,0,12.86,4.39,0.94,75,1.25,88,9.1,5.49,14,50
Bivish Gurung,Dover Athletic,812,Right Centre Midfielder,Right Defensive Midfielder,England,24,0,0.04,14,0,0.04,0.67,0.78,0.33,43,1.44,1.77,1.44,10.53,8.87,11.08,2.99,42,0.11,21.28,6.1,2.66,63,2.11,88,5.43,1,60,50
Bobby Unwin,Tonbridge Angels FC,429,Right Wing,Left Wing,England,23,0.63,0.2,40,0,0.23,0.84,2.1,1.26,60,1.47,3.36,1.26,5.24,4.2,6.5,2.1,71,0,13.43,3.36,0.84,59,2.31,89,6.5,3.15,25,33
Bradley Ash,Bath City,2004,Right Centre Forward,Centre Forward,England,30,0.22,0.25,43,0.09,0.06,0.36,2.34,0.94,40,3.28,4.81,0.49,9.16,6.78,6.11,1.39,16,0,24.17,7.01,2.25,54,0.81,68,3.68,4.54,0,8
Brandon Haunstrup,AFC Totton,866,Left Back,Left Centre Back,England,29,0.21,0.07,36,0.1,0.09,1.04,0.52,0.31,60,0.52,0.83,2.29,3.74,4.16,11.64,2.18,47,0,7.38,1.14,0.1,76,6.44,98,11.32,1.56,36,37
Brandon Leroy Pierrick Keutcha,Tonbridge Angels FC,431,Left Wing,Left Midfielder,England,24,0.21,0.02,50,0,0.08,0.84,2.3,0.84,36,2.09,2.71,0.42,5.43,5.01,8.14,2.51,60,0.21,10.23,3.13,0.84,75,2.3,91,7.1,0.84,0,0
