Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
A . Grout,Eastbourne Borough,2027,Right Centre Midfielder,Right Attacking Midfielder,England,,44,55,37,48,70,62,43,48,70,31,40,32,54,92,94,30,42,100,86,99,100,10,32,34,53,57,34,57
A. Nasta,AFC Hornchurch,2671,Goalkeeper,,England,20,0,0,0,0,0,0,0,0,0,92,100,6,0,85,8,0,0,5,0,0,0,0,9,93,5,0,100,0
A.Lafleur,Chesham United FC,811,Left Wing Back,Left Centre Back,England,26,65,43,11,72,63,48,59,51,18,65,43,64,25,76,78,53,29,100,43,72,99,5,55,64,66,64,40,25
A.Young,Chesham United FC,2481,Centre Back,Left Centre Back,England,29,41,42,55,0,11,10,23,29,87,76,80,79,8,53,76,18,68,4,9,11,87,94,7,84,8,30,100,0
Aaron Cosgrave,Ebbsfleet United,1254,Centre Forward,Left Centre Forward,England,26,71,86,63,0,38,52,45,45,45,2,5,0,63,85,0,8,0,100,98,95,99,43,11,0,46,91,100,0
Aaron Henry,AFC Hornchurch,607,Right Defensive Midfielder,Centre Defensive Midfielder,England,22,72,54,26,81,75,89,0,0,0,56,82,63,47,89,99,52,43,100,64,90,99,5,86,71,52,0,61,52
Aaron Lacey,Hampton & Richmond,471,Right Centre Back,Right Back,England,19,92,41,97,0,0,0,50,57,70,83,63,76,18,87,99,50,82,100,42,54,99,3,23,55,21,66,100,0
Adam Crowther,Chelmsford City,325,Left Centre Back,Centre Attacking Midfielder,England,25,86,61,100,95,84,26,0,0,0,65,100,98,8,29,98,24,85,100,13,19,48,55,30,85,15,47,100,0
Adam Desbois,Slough Town FC,2698,Goalkeeper,,England,25,0,0,0,44,18,9,6,8,100,100,100,6,0,93,18,0,100,11,1,6,0,0,49,94,10,7,100,0
Adam Thompson,Enfield Town FC,2241,Centre Back,Right Centre Back,Northern Ireland,33,43,33,14,46,24,26,9,11,100,92,89,99,23,88,99,36,94,100,22,29,93,4,10,83,10,48,100,93
Adebayo Azeez,Hemel Hempstead Town,636,Centre Forward,Left Centre Forward,England,32,0,71,0,0,16,16,34,16,1,9,6,14,17,58,0,9,13,100,62,98,100,3,2,0,19,80,0,0
Alan Massey,Hampton & Richmond,1952,Centre Back,Left Centre Back,England,37,0,39,86,49,26,20,16,15,53,83,88,99,17,86,99,23,78,100,17,21,87,9,7,82,9,54,100,0
Alex Fisher,Bath City,485,Centre Forward,Right Centre Forward,England,35,77,88,97,98,73,81,43,44,53,10,35,34,8,25,55,7,24,100,38,85,88,6,19,24,48,94,40,79
Alex Wilkie,Hampton & Richmond,550,Right Centre Back,Right Back,England,20,0,37,94,0,24,29,13,17,100,76,81,94,28,87,98,44,66,100,31,39,93,4,11,66,14,40,100,0
Alexander Jon Babos,Chesham United FC,1830,Left Defensive Midfielder,Right Centre Midfielder,Wales,27,72,63,54,0,65,77,37,40,58,46,59,59,40,77,97,41,58,100,49,84,99,5,81,65,66,57,70,25
Alfie Jacob Matthews,Dover Athletic,1654,Left Centre Midfielder,Left Defensive Midfielder,England,24,81,59,32,71,71,77,38,47,78,44,50,68,17,34,86,12,26,100,31,54,87,0,60,35,39,34,67,42
Alfie Pavey,Tonbridge Angels FC,818,Centre Forward,Centre Attacking Midfielder,England,30,81,91,27,91,77,62,20,21,70,14,24,53,22,28,39,10,40,100,43,82,97,2,30,18,37,94,100,0
Alfie Rutherford,Dorking Wanderers FC,1500,Left Centre Forward,Right Centre Forward,England,27,91,96,65,86,92,85,44,35,14,8,30,37,7,24,6,10,59,100,25,41,98,2,17,14,44,96,30,81
Alfie Tuck,Hampton & Richmond,592,Left Defensive Midfielder,Centre Defensive Midfielder,Wales,20,73,30,99,0,65,78,52,64,82,63,60,66,74,82,99,43,71,100,63,66,97,16,52,68,35,9,100,0
Alfie Williams,Chesham United FC,1762,Left Wing Back,Left Centre Midfielder,England,23,0,42,38,69,76,76,41,38,34,43,58,53,52,85,91,46,38,100,57,91,99,2,49,64,57,45,28,65
