Name,Team,Minutes,Primary Position,Nationality,Age,Height,Passing%,Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%
A. Nasta,AFC Hornchurch,2671,Goalkeeper,England,20,186,40,57.05,1.08,1.06,-0.02,70,70,-1,1.22,3.54,31,11.36,2.01,0.07,0.07,19.69,1,45,5,1.14,7
Aaron Chapman,King's Lynn Town FC,1098,Goalkeeper,England,36,203,63,43.14,1.15,1.28,0.13,55,50,5,1.04,2.54,30,8.36,3.1,0,0,21.91,-2,32,4,1.48,10
Adam Desbois,Slough Town FC,2698,Goalkeeper,England,25,189,39,60.28,1.4,1.52,0.12,64,61,3,1.25,3.9,36,10.88,2.42,0.07,0.03,21.51,1,44,4,2.27,17
Andrew Wogan,Chester,394,Goalkeeper,Republic of Ireland,20,189,52,55.44,1.6,0.91,-0.69,30,60,-30,0.59,2.28,29,7.99,2.14,0.23,0.23,21.78,0,35,8,1.48,15
B.Goode,Chesham United FC,2714,Goalkeeper,England,32,,52,50.44,0.83,0.9,0.07,71,68,2,0.92,2.82,29,9.58,1.96,0.13,0.07,24.14,1,38,5,1.39,10
Bobby Jones,Spennymoor Town,765,Goalkeeper,Republic of Ireland,24,189,46,56.26,1.29,1.22,-0.08,67,69,-2,0.74,3.88,40,9.64,1.8,0,0,20.19,-2,44,3,1.48,11
Bradley James,Spennymoor Town,1761,Goalkeeper,England,26,186,53,51.47,1.43,1.31,-0.12,62,65,-3,1.3,3.73,34,11.04,2.27,0.1,0.05,18.63,-1,34,4,1.35,10
Brandon Hall,AFC Telford United,314,Goalkeeper,England,33,183,61,48.39,0.57,0.5,-0.07,75,78,-3,0.67,2.3,36,6.31,2.37,0,0,20.22,-4,36,4,2.61,19
Callum Hawkins,Curzon Ashton FC,2559,Goalkeeper,England,26,187,56,49.48,1.41,1.36,-0.04,67,68,-1,1.24,4.33,31,14.17,1.68,0.14,0.14,16.86,0,35,5,2.61,19
Charlie Binns,Bath City,316,Goalkeeper,England,21,,37,60.14,1.14,1.04,-0.1,71,74,-3,1.07,3.99,29,13.95,1.57,0,0,16.42,-3,58,4,0.68,5
Chris Haigh,Chelmsford City,2054,Goalkeeper,England,29,186,49,56.92,1.14,0.83,-0.31,64,74,-10,0.89,3.2,32,10.08,2.09,0.04,0.04,22.16,-1,38,6,2.55,18
Chris Renshaw,Southport,2787,Goalkeeper,England,28,190,60,47.53,1.32,1.42,0.09,60,57,3,1.23,3.29,33,10.01,2.58,0.16,0.13,19.52,1,31,6,1.58,12
Christian Dibble,Kidderminster Harriers,2606,Goalkeeper,Wales,32,193,52,51.25,1.07,0.99,-0.08,57,60,-3,0.86,2.49,33,7.42,2.79,0,0,25.73,4,36,4,1.81,13
Daniel Wilks,Bedford Town,706,Goalkeeper,England,29,181,38,60.63,1.53,1.4,-0.13,61,65,-3,1.34,3.95,36,11.09,3.39,0.13,0.13,20.1,2,48,6,1.75,14
Eddie Brearey,Leamington FC,988,Goalkeeper,England,21,186,35,60.69,1.64,1.78,0.14,65,62,3,1.71,4.73,34,13.84,2.68,0.18,0.18,16.66,-2,51,3,1.88,14
Fraser Barnsley,Marine,1590,Goalkeeper,England,21,,30,63.93,1.08,1.03,-0.05,67,69,-1,0.96,3.28,32,10.24,1.85,0,0,17.14,1,56,4,1.31,12
George Murray-Jones,Chester,2182,Goalkeeper,England,21,190,45,53.8,1.24,1.15,-0.09,62,64,-3,1.02,3.22,31,10.48,2.12,0,0,18.13,2,42,4,1.75,11
George Willis,Alfreton Town,986,Goalkeeper,England,30,181,51,55.46,1.46,1.48,0.02,60,59,1,1.22,3.65,31,11.68,2.15,0.09,0.09,16.95,-3,42,8,1.28,13
Giosue Bellagambi,Ebbsfleet United,439,Goalkeeper,England,24,189,63,41.43,0.82,0.84,0.02,73,73,1,0.91,3.08,33,9.43,1.66,0,0,17.89,3,27,2,0.57,4
Harrison Andrew Foulkes,Dorking Wanderers FC,2434,Goalkeeper,England,25,189,76,37.68,1.04,1.03,-0.01,67,67,0,1.01,3.14,32,9.84,2.48,0.07,0.04,20.36,2,20,4,1.68,10
Harry Burgoyne,Alfreton Town,1470,Goalkeeper,England,29,193,43,60.86,1.53,1.55,0.02,62,61,1,1.24,3.98,35,11.45,2.25,0.12,0.12,19,-1,47,4,1.92,15
Harvey Wiles-Richards,Bath City,2104,Goalkeeper,England,24,181,43,54.44,0.94,0.87,-0.08,67,69,-3,1.06,2.82,27,10.48,2.54,0.26,0.26,21.18,0,46,3,2.11,17
Hubert Graczyk,Enfield Town FC,399,Goalkeeper,England,23,187,40,55.48,2.71,2.19,-0.52,54,63,-9,1.92,5.87,38,15.35,1.94,0,0,20.06,3,48,1,0.54,5
J.Gracey,AFC Telford United,1681,Goalkeeper,Northern Ireland,18,,59,48.93,1.02,1.19,0.17,71,66,5,1.1,3.48,34,10.12,1.95,0.16,0.16,18.38,0,35,6,1.4,9
Jack Anthony Turner,Farnborough,2580,Goalkeeper,England,33,188,46,57.82,1.6,1.6,-0.01,64,64,0,1.59,4.43,35,12.77,2.29,0.17,0.17,20.53,-2,45,5,1.29,11
Jack McIntyre,Marine,393,Goalkeeper,England,23,184,50,61.31,1.14,0.4,-0.75,69,89,-20,0.73,3.66,37,9.85,2.79,0.23,0.23,18.31,1,39,4,1.12,7
Jacob Adams,Tonbridge Angels FC,1543,Goalkeeper,England,25,182,63,41.72,1.28,1.36,0.08,60,58,2,1.19,3.21,29,11.02,1.91,0.12,0.12,20.1,-2,25,4,1.29,12
Jacob Knightbridge,AFC Totton,599,Goalkeeper,England,22,192,64,45.69,1.35,0.95,-0.4,61,73,-12,0.97,3.46,32,10.97,2.11,0.15,0.15,17.12,-1,32,5,1.37,11
Jaimie Cogman,Merthyr Town FC,2778,Goalkeeper,Australia,23,188,78,29.13,1.56,1.41,-0.14,66,69,-3,1.26,4.57,34,13.51,2.11,0.1,0.06,17.64,3,19,5,1.83,12
James Hamon,Torquay United,2814,Goalkeeper,International,30,185,63,44.05,0.96,1.04,0.08,69,66,3,1.05,3.07,33,9.21,2.17,0.1,0.1,21.46,0,29,4,1.71,11
James William Holden,Hampton & Richmond,1312,Goalkeeper,England,24,193,42,55.61,1.23,1.33,0.09,68,65,2,1.36,3.84,29,13.17,2.06,0.07,0.07,15.04,-1,44,3,1.04,9
Jamie Pardington,Oxford City,582,Goalkeeper,England,25,195,69,38.14,1.08,1.21,0.13,70,66,4,1.31,3.56,30,11.91,2.42,0,0,17.25,4,25,7,1.35,14
Jamie Spencer Searle,Eastbourne Borough,396,Goalkeeper,New Zealand,25,195,49,54.84,1.36,1.68,0.31,65,57,8,1.47,3.87,30,12.74,2.05,0,0,18.48,3,34,5,0.77,5
Jasper Sheik,South Shields,1385,Goalkeeper,England,21,182,86,27.24,0.39,0.43,0.04,82,80,2,0.68,2.14,27,8.06,2.28,0.13,0.13,23.98,2,15,7,2.2,13
Joe Wright,Enfield Town FC,394,Goalkeeper,England,33,,25,60.96,1.14,0.8,-0.34,50,65,-15,1.13,2.28,18,13.01,2.01,0.46,0.46,18.83,-2,59,3,1.16,9
Joe Wright,Chelmsford City,398,Goalkeeper,England,25,185,52,51.42,0.9,1.11,0.21,67,59,8,1.1,2.71,27,9.95,1.45,0.68,0.68,19.9,-2,46,5,2.76,21
Joe Young,Buxton,1533,Goalkeeper,England,23,186,68,42.52,1.29,1.14,-0.15,63,67,-4,1.05,3.46,39,8.92,2.2,0.12,0.06,19.78,1,23,4,1.47,11
Jonny Maxted,Oxford City,399,Goalkeeper,England,32,183,62,46.43,0.9,0.7,-0.2,71,78,-6,0.92,3.16,37,8.58,1.64,0,0,18.76,4,28,1,0.59,10
Jordi van Stappershoef,Maidenhead United,2579,Goalkeeper,Netherlands,30,200,45,55.61,0.8,0.76,-0.04,65,66,-2,0.92,2.27,29,7.78,1.96,0.07,0.07,21.29,1,43,5,1.11,8
Joshua Jeffries,Worthing FC,1908,Goalkeeper,England,20,,72,31.32,0.99,1.04,0.05,66,64,2,0.94,2.88,33,8.82,2,0.14,0.09,24.39,0,26,8,1,6
Kai McKenzie-Lyle,Dagenham & Redbridge,611,Goalkeeper,Guyana,28,195,51,49.01,1.03,0.92,-0.11,68,71,-3,0.84,3.24,28,11.48,1.5,0.15,0,19.83,1,39,5,2.31,16
Laurence Shala,Tonbridge Angels FC,1295,Goalkeeper,Kosovo,21,189,34,59.47,1.39,1.06,-0.33,61,70,-9,0.94,3.54,34,10.42,1.65,0,0,15.25,0,51,3,1.24,9
Lewis Carey,Horsham FC,2889,Goalkeeper,England,32,183,68,42.22,0.9,0.87,-0.03,65,66,-1,0.96,2.59,27,9.69,2.01,0.12,0.09,18.9,-2,27,4,1.88,15
Lewis Forsham,Worksop Town FC,1092,Goalkeeper,England,19,,42,62.34,1.32,1.85,0.53,69,56,13,1.41,4.2,32,13.02,2.38,0.16,0.16,18.05,-2,45,3,1.8,14
Louis Chadwick,King's Lynn Town FC,599,Goalkeeper,England,23,185,63,50.99,0.6,0.54,-0.06,69,72,-3,0.58,1.95,25,7.96,2.28,0.15,0.15,22.73,0,31,5,2.15,12
M.Rowley,Hampton & Richmond,1278,Goalkeeper,England,22,182,50,50.32,1.55,1.48,-0.07,61,63,-2,1.31,4.01,32,12.46,1.81,0,0,21.58,-3,41,5,1.2,10
Mark Cousins,Ebbsfleet United,1004,Goalkeeper,England,39,188,56,43.57,0.9,0.93,0.03,72,71,1,0.84,3.23,36,9.05,2.27,0,0,22.32,2,40,7,1.04,8
Mark Halstead,Radcliffe,840,Goalkeeper,England,35,191,45,50.74,2.04,1.63,-0.41,41,53,-12,1.21,3.43,30,11.46,1.95,0.11,0,20.18,0,38,3,2.1,12
Mateusz Hewelt,Radcliffe,2126,Goalkeeper,Poland,29,191,46,53.41,1.14,1.03,-0.12,60,64,-4,1.11,2.88,29,9.95,1.98,0.04,0.04,19.81,0,42,5,2.16,11
Matteo Spinelli,Marine,806,Goalkeeper,England,19,193,27,59.83,1.56,1.88,0.32,61,53,8,1.29,4.02,39,10.28,3.42,0,0,23.3,-1,48,4,2.2,13
Matthew Hall,AFC Totton,411,Goalkeeper,England,23,195,57,48.99,1.31,1.15,-0.16,70,74,-4,1.32,4.38,32,13.57,1.9,0.44,0.44,19.61,2,33,7,3.04,32
Matthew Hall,Ebbsfleet United,1080,Goalkeeper,England,23,195,51,48.33,0.83,0.94,0.11,71,68,4,0.95,2.92,31,9.5,2.26,0.08,0,20.23,3,38,2,1.83,12
Matthew Urwin,Chorley,2374,Goalkeeper,England,32,185,43,54.18,1.18,1.16,-0.01,60,60,0,1.12,2.92,28,10.31,2.13,0.19,0.15,19.56,-3,43,5,1.55,10
Max Dearnley,Macclesfield Town,2604,Goalkeeper,England,27,195,65,39.48,1.18,1.11,-0.06,66,67,-2,0.9,3.42,37,9.23,2.23,0.14,0.1,21.5,-1,28,4,1.62,11
Max Harris,Weston-super-Mare AFC,2491,Goalkeeper,England,26,188,43,59.08,0.79,0.78,-0.01,71,71,0,0.84,2.71,31,8.78,2.11,0.11,0.07,21.45,0,38,4,2.47,19
Max James Evans,AFC Totton,495,Goalkeeper,England,24,194,64,47.84,1.64,1.23,-0.41,55,66,-11,0.98,3.64,44,8.19,2.95,0.36,0,19.97,-2,34,7,2.49,13
Michael Johnson,Hemel Hempstead Town,2771,Goalkeeper,England,32,186,40,57.45,0.84,0.89,0.04,68,66,2,1.01,2.6,30,8.57,2.26,0.03,0.03,21.37,-1,39,4,2.29,18
Mitchell Charles Alan Walker,Dover Athletic,2903,Goalkeeper,England,34,188,39,58.3,1.24,1.3,0.06,69,68,1,1.27,4.06,34,12.12,2,0.06,0.06,16.57,-1,43,3,2.13,18
Nathan Ashmore,Bedford Town,1582,Goalkeeper,England,36,188,38,61.84,1.02,1.24,0.22,75,70,5,1.3,4.15,33,12.46,2.33,0.28,0.28,19.96,-2,49,4,1.17,9
Nathan Harness,Maidstone United,2511,Goalkeeper,England,26,185,38,63.65,0.82,0.82,0,70,70,0,0.99,2.76,31,8.96,2.51,0.04,0.04,23.39,0,41,4,2.58,18
Paul Cooper,Buxton,1155,Goalkeeper,England,23,182,67,39.44,1.25,0.95,-0.29,59,69,-10,0.95,3.04,33,9.2,2.32,0.08,0.08,22.61,3,22,5,0.97,7
Paul Jones,King's Lynn Town FC,889,Goalkeeper,England,39,191,59,43.09,1.22,1.01,-0.21,67,72,-6,1.02,3.65,39,9.42,2.01,0,0,21.77,-1,36,3,0.66,5
Peter Crook,Peterborough Sports FC,2671,Goalkeeper,England,32,186,49,53.83,1.38,1.26,-0.12,62,65,-3,1.29,3.61,32,11.42,3.07,0.2,0.2,21.13,0,36,5,1.98,16
Peter Jameson,Darlington,2251,Goalkeeper,England,33,191,65,44.26,1.28,1.22,-0.06,64,66,-2,1.24,3.6,31,11.55,2.18,0.12,0.12,18.84,0,31,4,2.22,14
Rhys Forster,Enfield Town FC,1603,Goalkeeper,England,27,190,34,63.03,1.24,1.05,-0.18,65,70,-5,1.23,3.48,28,12.58,2.05,0.11,0.11,23.17,2,47,3,2.05,18
