Name,Team,Minutes,Primary Position,Nationality,Passing%,Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%
A. Nasta,AFC Hornchurch,2671,Goalkeeper,England,40,99,49,49,48,70,70,48,69,41,35,48,22,94,94,72,23,45,23,37,25
Aaron Chapman,King's Lynn Town FC,1098,Goalkeeper,England,63,96,42,75,81,55,50,90,42,5,27,6,1,0,0,93,2,32,31,66,65
Adam Desbois,Slough Town FC,2698,Goalkeeper,England,39,99,19,90,79,64,61,78,73,59,79,38,3,94,93,91,29,44,27,96,97
Andrew Wogan,Chester,394,Goalkeeper,Republic of Ireland,52,99,10,30,0,30,60,0,1,2,13,4,13,98,99,92,20,35,2,67,94
B.Goode,Chesham United FC,2714,Goalkeeper,England,52,98,78,28,69,71,68,73,25,11,19,17,27,96,94,98,24,38,10,59,67
Bobby Jones,Spennymoor Town,765,Goalkeeper,Republic of Ireland,46,99,27,69,34,67,69,35,7,57,96,18,48,0,0,79,4,44,51,67,72
Bradley James,Spennymoor Town,1761,Goalkeeper,England,53,98,17,78,25,62,65,26,78,50,62,42,7,95,94,52,5,34,25,56,60
Brandon Hall,AFC Telford United,314,Goalkeeper,England,61,98,96,1,36,75,78,27,3,3,82,0,4,0,0,79,0,36,48,98,99
Callum Hawkins,Curzon Ashton FC,2559,Goalkeeper,England,56,98,19,82,42,67,68,44,71,76,28,89,66,96,97,19,19,35,15,98,99
Charlie Binns,Bath City,316,Goalkeeper,England,37,99,43,46,29,71,74,31,46,62,13,87,82,0,0,13,1,58,36,5,5
Chris Haigh,Chelmsford City,2054,Goalkeeper,England,49,99,43,20,5,64,74,3,20,24,40,24,15,93,93,94,8,38,7,98,98
Chris Renshaw,Southport,2787,Goalkeeper,England,60,97,25,85,74,60,57,76,70,29,53,23,2,97,97,69,27,31,8,74,79
Christian Dibble,Kidderminster Harriers,2606,Goalkeeper,Wales,52,98,50,40,33,57,60,25,17,4,59,2,1,0,0,99,78,36,38,85,87
Daniel Wilks,Bedford Town,706,Goalkeeper,England,38,99,13,85,24,61,65,26,82,61,78,43,1,96,96,78,50,48,4,83,92
Eddie Brearey,Leamington FC,988,Goalkeeper,England,35,99,9,97,83,65,62,77,97,87,66,86,1,97,98,16,3,51,66,88,92
Fraser Barnsley,Marine,1590,Goalkeeper,England,30,99,50,45,41,67,69,40,30,29,44,27,40,0,0,24,33,56,49,52,80
George Murray-Jones,Chester,2182,Goalkeeper,England,45,99,33,61,32,62,64,30,40,25,30,31,14,0,0,42,40,42,42,83,70
George Willis,Alfreton Town,986,Goalkeeper,England,51,99,16,89,57,60,59,57,68,46,36,54,12,94,95,20,0,42,2,50,88
Giosue Bellagambi,Ebbsfleet United,439,Goalkeeper,England,63,95,79,21,56,73,73,57,23,19,50,15,69,0,0,38,55,27,93,2,1
Harrison Andrew Foulkes,Dorking Wanderers FC,2434,Goalkeeper,England,76,94,55,45,50,67,67,50,38,22,43,20,3,94,93,81,43,20,37,79,65
Harry Burgoyne,Alfreton Town,1470,Goalkeeper,England,43,99,13,92,58,62,61,57,71,62,71,49,7,95,96,59,10,47,44,90,94
Harvey Wiles-Richards,Bath City,2104,Goalkeeper,England,43,99,66,24,34,67,69,30,45,11,6,31,2,99,99,89,12,46,60,94,98
Hubert Graczyk,Enfield Town FC,399,Goalkeeper,England,40,99,1,99,0,54,63,4,99,98,91,96,29,0,0,77,56,48,100,1,3
J.Gracey,AFC Telford United,1681,Goalkeeper,Northern Ireland,59,98,57,66,89,71,66,90,52,38,68,25,28,97,98,48,17,35,6,60,52
Jack Anthony Turner,Farnborough,2580,Goalkeeper,England,46,99,10,93,50,64,64,50,95,79,70,72,6,97,98,83,3,45,18,51,72
Jack McIntyre,Marine,393,Goalkeeper,England,50,99,42,0,0,69,89,0,6,47,87,20,1,98,99,46,21,39,49,36,26
Jacob Adams,Tonbridge Angels FC,1543,Goalkeeper,England,63,95,28,82,72,60,58,74,65,25,17,41,32,95,96,78,4,25,32,51,83
Jacob Knightbridge,AFC Totton,599,Goalkeeper,England,64,97,23,35,2,61,73,1,31,37,38,40,14,96,97,24,7,32,10,57,74
Jaimie Cogman,Merthyr Town FC,2778,Goalkeeper,Australia,78,91,12,85,22,66,69,27,73,83,62,83,15,95,94,33,54,19,17,86,78
James Hamon,Torquay United,2814,Goalkeeper,International,63,96,64,47,72,69,66,75,44,19,56,12,11,94,95,91,11,29,38,81,71
James William Holden,Hampton & Richmond,1312,Goalkeeper,England,42,99,33,80,74,68,65,74,83,55,17,78,17,94,94,3,5,44,52,28,55
Jamie Pardington,Oxford City,582,Goalkeeper,England,69,94,49,68,81,70,66,82,79,42,23,58,4,0,0,26,71,25,2,56,90
Jamie Spencer Searle,Eastbourne Borough,396,Goalkeeper,New Zealand,49,99,22,95,97,65,57,97,90,57,27,72,18,0,0,49,62,34,13,9,5
Jasper Sheik,South Shields,1385,Goalkeeper,England,86,90,99,0,63,82,80,69,3,1,5,4,6,96,97,98,36,15,2,95,89
Joe Wright,Enfield Town FC,394,Goalkeeper,England,25,99,43,17,4,50,65,0,56,2,0,76,21,99,99,56,2,59,54,39,50
Joe Wright,Chelmsford City,398,Goalkeeper,England,52,98,70,56,91,67,59,96,52,9,7,22,94,99,99,75,2,46,11,99,99
Joe Young,Buxton,1533,Goalkeeper,England,68,95,27,60,21,63,67,19,43,37,93,10,9,95,94,73,26,23,36,66,72
Jonny Maxted,Oxford City,399,Goalkeeper,England,62,97,70,9,13,71,78,10,24,23,85,7,72,0,0,55,76,28,98,2,66
Jordi van Stappershoef,Maidenhead United,2579,Goalkeeper,Netherlands,45,99,81,14,43,65,66,38,24,2,17,3,26,94,94,90,24,43,20,34,32
Joshua Jeffries,Worthing FC,1908,Goalkeeper,England,72,92,61,47,65,66,64,68,27,13,50,9,23,96,95,98,11,26,1,25,11
Kai McKenzie-Lyle,Dagenham & Redbridge,611,Goalkeeper,Guyana,51,98,56,32,28,68,71,26,15,26,11,50,90,96,0,74,23,39,10,97,96
Laurence Shala,Tonbridge Angels FC,1295,Goalkeeper,Kosovo,34,99,20,48,4,61,70,4,26,41,64,30,70,0,0,4,13,51,55,45,53
Lewis Carey,Horsham FC,2889,Goalkeeper,England,68,95,70,25,45,65,66,41,31,6,5,18,22,96,95,57,4,27,38,88,95
Lewis Forsham,Worksop Town FC,1092,Goalkeeper,England,42,99,25,97,99,69,56,99,86,71,46,76,4,97,98,41,2,45,52,85,93
Louis Chadwick,King's Lynn Town FC,599,Goalkeeper,England,63,98,95,2,38,69,72,27,1,1,1,4,7,96,97,96,17,31,14,95,85
M.Rowley,Hampton & Richmond,1278,Goalkeeper,England,50,98,12,89,36,61,63,37,79,63,46,68,46,0,0,92,2,41,16,43,65
Mark Cousins,Ebbsfleet United,1004,Goalkeeper,England,56,96,71,32,60,72,71,61,14,26,78,11,7,0,0,95,42,40,3,28,34
Mark Halstead,Radcliffe,840,Goalkeeper,England,45,98,2,94,2,41,53,1,68,35,23,50,28,95,0,79,15,38,81,94,79
Mateusz Hewelt,Radcliffe,2126,Goalkeeper,Poland,46,99,42,45,26,60,64,21,53,13,16,22,25,93,93,74,19,42,16,95,78
Matteo Spinelli,Marine,806,Goalkeeper,England,27,99,11,98,97,61,53,97,76,64,94,27,1,0,0,97,7,48,43,95,89
Matthew Hall,AFC Totton,411,Goalkeeper,England,57,98,26,62,19,70,74,23,79,77,46,83,34,99,99,71,49,33,3,99,99
Matthew Hall,Ebbsfleet United,1080,Goalkeeper,England,51,98,77,34,77,71,68,82,29,14,30,16,7,94,0,79,53,38,86,86,83
Matthew Urwin,Chorley,2374,Goalkeeper,England,43,99,39,62,49,60,60,48,54,14,12,28,13,97,97,70,2,43,24,71,66
Max Dearnley,Macclesfield Town,2604,Goalkeeper,England,65,94,39,56,37,66,67,37,22,35,86,13,8,96,96,91,5,28,49,76,75
Max Harris,Weston-super-Mare AFC,2491,Goalkeeper,England,43,99,81,16,49,71,71,48,15,9,32,8,14,95,94,91,15,38,46,98,99
Max James Evans,AFC Totton,495,Goalkeeper,England,64,97,9,69,2,55,66,2,34,46,99,5,1,99,0,76,2,34,3,98,88
Michael Johnson,Hemel Hempstead Town,2771,Goalkeeper,England,40,99,76,27,64,68,66,68,38,6,26,7,7,93,93,90,7,39,45,96,99
Mitchell Charles Alan Walker,Dover Athletic,2903,Goalkeeper,England,39,99,33,77,68,69,68,66,75,65,59,62,23,93,94,15,5,43,75,94,98
Nathan Ashmore,Bedford Town,1582,Goalkeeper,England,38,99,57,71,92,75,70,90,78,69,56,68,5,99,99,76,4,49,30,40,54
Nathan Harness,Maidstone United,2511,Goalkeeper,England,38,99,78,20,52,70,70,51,34,10,31,10,2,93,93,97,14,41,36,98,98
Paul Cooper,Buxton,1155,Goalkeeper,England,67,94,32,36,6,59,69,3,29,18,54,12,5,94,95,96,63,22,21,22,29
Paul Jones,King's Lynn Town FC,889,Goalkeeper,England,59,96,35,42,13,67,72,13,39,46,93,15,22,0,0,92,8,36,65,4,4
Peter Crook,Peterborough Sports FC,2671,Goalkeeper,England,49,99,21,73,25,62,65,25,77,44,38,49,1,98,98,88,13,36,16,92,96
Peter Jameson,Darlington,2251,Goalkeeper,England,65,96,29,69,39,64,66,39,72,44,35,51,10,95,96,56,13,31,33,96,90
