Team Name,Games,Goals,Goals Conceded,NP xG,NP xG Against,Shots,SP xG,SP xG Against,Corner xG,Corner xG Against,Passing%,Passes Inside Box,Successful Box Cross%,Dribble%,Deep Progressions,PPDA,Aggression,Counterpressures,Possession%
Fylde,35,96,72,94,70,87,81,48,85,40,81,85,17,61,77,83,66,93,62
South Shields,37,93,87,94,76,74,27,71,49,78,82,81,22,61,90,73,51,96,64
Worthing FC,38,92,68,94,66,87,83,72,84,73,78,95,18,58,79,92,74,98,62
AFC Telford United,37,91,50,85,39,75,48,13,61,15,76,75,20,63,61,41,54,90,52
Dorking Wanderers FC,36,83,68,92,59,86,93,53,92,53,69,89,31,59,74,88,51,95,57
Maidenhead United,37,63,86,74,63,63,72,17,67,39,69,69,32,58,72,47,31,91,52
Maidstone United,38,64,84,78,62,58,73,57,78,80,63,75,26,63,55,63,44,96,49
Merthyr Town FC,36,94,19,91,11,82,72,14,89,18,80,75,13,61,44,11,19,92,57
Kidderminster Harriers,34,64,74,81,82,71,93,64,57,72,65,81,25,62,46,99,79,98,55
Weston-super-Mare AFC,33,60,75,73,81,46,66,67,45,64,71,57,28,59,55,27,11,93,54
Ebbsfleet United,38,72,64,75,65,66,63,48,79,44,67,81,25,63,62,42,18,82,49
AFC Hornchurch,37,80,47,90,17,79,95,36,87,49,67,82,26,62,33,24,9,93,51
Darlington,36,84,41,92,36,93,90,21,75,32,62,89,22,55,56,47,19,91,47
Macclesfield Town,35,85,35,79,74,72,68,50,56,70,70,68,22,60,62,65,41,92,55
Chelmsford City,36,71,59,83,63,69,90,26,88,40,64,81,21,59,36,79,29,92,51
Buxton,35,81,42,68,45,30,57,16,57,24,72,61,21,60,40,68,51,84,55
Torquay United,38,81,42,71,33,73,82,21,70,31,72,81,26,57,66,43,13,80,54
Chesham United FC,35,51,74,72,57,54,93,60,92,65,68,86,21,62,27,26,14,95,50
Scarborough Athletic,38,56,64,51,33,20,72,13,69,46,64,58,24,55,35,56,36,96,50
Dagenham & Redbridge,40,51,69,64,63,55,81,55,75,49,68,74,27,60,34,30,38,88,48
Radcliffe,38,81,31,74,25,79,92,41,95,31,66,73,20,58,49,51,32,80,48
Hemel Hempstead Town,37,43,73,58,58,34,74,36,25,63,61,60,25,62,38,79,43,96,49
Horsham FC,37,43,68,52,56,23,24,29,19,36,59,39,23,66,32,12,24,82,46
Chorley,34,72,40,73,41,64,97,64,82,58,72,86,25,52,25,51,29,87,50
Dover Athletic,36,60,47,28,19,15,49,11,30,17,55,66,24,59,12,56,28,94,44
League Average,36.29166667,62,45,70,34,56,77,24,69,32,68,68,24,60,41,48,30,92,50
King's Lynn Town FC,34,52,53,63,64,60,84,58,84,84,69,58,22,65,69,82,26,89,53
Tonbridge Angels FC,38,56,42,53,44,24,87,53,89,64,64,38,25,60,10,34,24,94,44
Chester,37,63,32,73,60,77,80,57,80,62,68,71,29,59,49,30,10,89,50
Southport,37,59,33,32,23,56,51,13,61,20,72,39,21,64,42,68,26,68,54
Marine,35,61,31,64,37,51,75,21,42,52,54,40,22,56,14,61,48,96,44
Slough Town FC,38,66,27,65,13,50,80,6,73,6,62,48,22,61,46,54,28,89,46
Bedford Town,39,63,23,41,13,33,83,12,19,16,68,33,25,64,9,23,21,78,49
Hereford FC,30,61,25,83,18,80,90,7,80,7,70,55,21,64,38,43,40,90,46
Oxford City,36,49,34,33,19,7,17,17,23,47,59,35,26,62,13,11,40,83,41
Curzon Ashton FC,34,66,20,65,12,55,62,16,72,15,67,49,22,58,22,17,7,81,45
AFC Totton,36,51,29,63,30,53,73,24,75,21,70,59,21,61,32,50,12,88,52
Spennymoor Town,36,53,24,72,26,50,60,29,59,30,68,53,24,64,31,7,15,80,47
Salisbury,39,30,45,49,32,58,30,21,31,20,70,46,20,61,46,64,35,98,53
Worksop Town FC,36,55,21,73,15,60,88,10,77,15,57,91,20,53,51,59,41,94,45
Hampton & Richmond,36,39,31,22,17,26,62,7,32,14,60,53,27,56,13,59,38,97,46
Bath City,34,30,43,46,47,29,88,35,81,23,63,41,22,61,12,56,47,97,47
Chippenham Town,38,43,21,49,17,46,34,12,17,22,73,81,24,58,57,26,16,96,52
Enfield Town FC,36,39,23,53,14,34,74,6,64,9,57,61,34,64,10,23,15,92,42
Farnborough,38,56,10,57,10,38,91,5,70,6,65,56,27,55,36,52,40,93,47
Eastbourne Borough,39,38,16,60,14,44,80,14,79,20,65,53,26,60,34,88,70,97,52
Peterborough Sports FC,36,39,15,62,14,51,23,14,26,17,66,63,28,65,43,70,36,91,51
Alfreton Town,34,18,18,33,33,21,94,32,74,44,56,60,23,52,4,22,13,62,40
Leamington FC,35,9,18,18,12,30,67,15,44,13,57,23,24,61,8,14,23,89,41
