Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length
A . Grout,Eastbourne Borough,2235,Right Centre Midfielder,Right Attacking Midfielder,England,,,0.08,0.08,0.07,0.06,1.05,8,27,2,,0.06,0.04,0.09,0.85,0.04,0.09,0.77,0,0.01,0.08,0.12,0.16,1.89,-0.04,0.93,0.6,0.32,65,0.52,0,1.41,1.89,0.68,0.78,0.64,0.74,21.38,8.7,0,6.4,49.95,7.57,11.6,1.29,1.97,74,1.44,2.22,0.64,44,0.44,44,1.21,0,19.49,20.11,5.48,6.24,1.69,51.45,10.63,55,4.71,75,0.04,0,0,26.34,69,1.77,12,50,1.41,2.78,23,62,-7,57.65,2.62,0.28,0.37,20.06,91,5.84,7.97,0.89,0.64,0.24,0.2,1.81,2.46,0.08,27,0.32,32,0.4,24,59,17,20,66,14,19.78,16.99,0.99,107,-2.79,19.53,18.18
A.Crowther,Leamington FC,1816,Right Centre Back,Left Centre Back,England,22,190,0,0,0.03,0.09,0.3,0,50,0,,0.02,0,0.02,0.2,0,0.02,0.2,0,0,0,0,0.04,0.5,-0.04,0.2,0.1,0.1,50,0.5,0,0.15,0.2,0.94,0.32,7.04,4.26,12.24,5.8,0.08,7.88,23.69,1.04,12.44,1.64,2.58,72,1.23,1.55,0.59,28,0.64,54,3.02,0.05,10.11,6.62,4.76,2.97,1.19,28.2,1.44,14,1.09,37,0.1,0,0,26.12,57,2.13,15,27,7.98,6.94,17,58,1,35.87,1.93,0.05,0.08,14.17,99,4.88,2.23,0.05,0.05,0,0.15,1.24,1.29,0.05,100,0.05,33,0.2,51,44,5,47,47,7,27.96,23.38,0.8,81,-4.58,22.47,18.95
A.Lafleur,Chesham United FC,1217,Left Wing Back,Left Centre Back,England,26,,0.07,0.07,0.05,0.05,1.04,7,7,1,,0.04,0.15,0.07,0.67,0.15,0.07,0.67,0,0,0,0.22,0.12,1.7,0.1,1.48,0.89,0.59,60,0.96,0.07,0.81,1.33,1.26,1.19,1.77,1.78,15.23,6.21,0.05,5.18,40.4,4.36,9.47,1.41,2.66,70,1.38,2.58,1.18,13,0.59,37,1.26,0.07,12.65,12.64,3.77,3.55,1.04,46.32,5.84,46,3.03,85,0.15,0,0,31.21,63,1.85,84,36,2.14,4.81,17,51,-13,57.62,3.11,0.31,0.4,26.99,96,5.22,8.73,1.26,1.18,0.07,0.15,2.37,3.55,0.07,35,0.67,24,0.22,31,54,15,21,59,19,20.45,13.27,0.88,102,-7.18,18.06,13.56
A.Young,Chesham United FC,2886,Centre Back,Left Centre Back,England,29,188,0.03,0.03,0.04,0.34,0.12,25,25,0,,0.03,0,0.01,0.12,0,0.01,0.09,0,0,0.03,0.03,0.05,0.25,-0.02,0.37,0.31,0.06,83,0.41,0.03,0.31,0.31,0.53,0.53,3.06,2.79,6.86,2.9,0.06,4.09,23.15,1.03,10.26,0.75,1.28,83,0.69,1.21,0.53,75,0.16,52,1.65,0.09,5.58,5.55,2.56,0.94,0.5,27.72,0.72,13,0.22,23,0.16,0,0.03,36.62,89,1.96,8,61,3.31,2.99,15,84,-5,30.65,0.87,0.27,0.3,28.13,99,5.23,1.25,0.12,0.12,0,0.09,0.9,1.03,0,0,0,,0.16,25,71,4,25,70,5,19.69,16.94,0.96,102,-2.75,18.96,17.27
Ángelo Balanta,AFC Hornchurch,2370,Centre Attacking Midfielder,Centre Forward,Colombia,35,179,0.57,0.57,0.32,0.13,2.58,22,37,4,,0.41,0.08,0.15,1.14,0.08,0.15,1.14,0,0,0,0.65,0.48,3.72,0.17,0.38,0.23,0.15,60,0.49,0,1.82,2.62,0.34,0.25,0.76,0.7,13.25,4.14,0.03,4.37,58.16,5.05,8.09,0.38,0.72,59,0.25,0.5,0.46,22,0.27,35,2.58,0,12.42,10.64,3.57,3.72,0.99,62.26,8.81,71,3.19,86,0,0,0,29.73,66,1.18,15,49,1.48,1.67,31,63,-4,63.25,2.77,0.57,0.81,22.02,89,4.86,10.86,1.63,1.63,0,0.46,6.38,8.01,0.27,12,0.34,35,0.68,26,56,18,26,54,21,16.57,16,0.96,96,-0.58,15.96,15.4
Aaron Cosgrave,Ebbsfleet United,1407,Centre Forward,Left Centre Forward,England,26,185,0.13,0.13,0.22,0.17,1.28,10,35,3,,0.18,0,0.05,0.83,0,0.05,0.83,0,0,0,0.13,0.27,2.11,-0.14,0.83,0.51,0.32,62,1.28,0,3.07,4.54,0.06,0.06,0.06,0.1,25.65,9.08,0,5.69,67.99,1.98,3.13,0.51,0.58,42,0.58,0.64,1.41,8,0.7,5,0.19,0,23.92,28.37,5.12,5.24,1.54,68.14,20.28,85,4.92,94,0.13,0,0,13.24,78,0.32,21,63,0.19,0.38,38,75,-3,71.14,1.22,0.27,0.45,17.01,70,7.36,7.1,0.32,0.32,0,0.58,5.56,5.88,0,0,0.06,10,1.22,8,67,25,8,63,29,13.13,11.54,0.99,100,-1.59,13.05,11.53
Aaron Haper-Bailey,Oxford City,594,Left Centre Back,Centre Back,England,24,194,0,0,0.05,0.09,0.61,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.05,0.61,-0.05,0.61,0.3,0.3,50,0.3,0,0.45,0.61,0.91,0.73,9.09,7.96,8.48,3.48,0.04,5.45,17.87,1.36,14.54,1.51,2.42,91,1.71,2.44,1.06,100,0.15,73,5.3,0,5.91,5.81,2.57,0.61,0.3,20.76,0.45,8,0.3,50,0.15,0,0,40.58,76,4.09,71,47,10.6,7.12,20,62,-14,31.63,0.91,0.23,0.25,29.83,97,5.85,0.91,0,0,0,0,0.91,0.91,0,,0,,0,36,61,3,67,33,0,24.98,22.08,0.91,92,-2.89,22.66,20.3
Aaron Henry,AFC Hornchurch,607,Right Defensive Midfielder,Centre Defensive Midfielder,England,22,175,0.15,0.15,0.07,0.03,2.08,7,21,2,,0.19,0.15,0.12,1.63,0.15,0.05,0.74,0,0.07,0.89,0.3,0.19,3.71,0.11,0,0,0,,0.3,0,0.74,0.3,1.48,1.35,1.93,1.92,17.5,7.71,0.01,6.08,38.64,6.23,14.24,1.48,2.97,63,1.26,2.6,0.59,50,0.89,45,1.48,0,15.42,12.48,4.6,4.6,1.33,40.77,5.04,33,2.37,52,0.15,0,0,39.75,63,6.23,15,37,4.15,14.53,13,55,-8,49.24,5.78,0.29,0.36,26.4,97,3.81,7.86,3.11,1.33,1.78,0,0,1.33,0.15,14,0.44,30,0,35,59,5,42,55,4,30.74,29.85,0.8,71,-0.88,24.7,21.34
Aaron Lacey,Hampton & Richmond,471,Right Back,Right Centre Back,England,19,187,0.38,0.38,0.05,0.05,0.96,40,60,1,,0.22,0,0,0,0,0,0,0,0,0,0.38,0.05,0.96,0.34,1.15,0.77,0.38,67,0.77,0,0.19,0.96,1.53,1.24,2.87,2.25,14.35,4.97,0.03,5.93,31.69,3.25,16.07,1.34,2.87,70,1.09,2.33,0.77,25,0.57,63,3.83,0,12.24,10.45,4.21,2.87,1.34,35.5,3.44,28,2.1,73,0,0,0,29.27,62,1.91,10,26,3.83,6.31,17,55,-7,41.08,2.1,0.24,0.24,18.36,95,4.27,3.83,0.77,0.38,0.38,0,2.49,2.87,0,0,0,0,0.19,40,54,6,35,50,15,24.64,17.94,0.81,90,-6.7,19.97,16.18
Aaron Martin,Worksop Town FC,1886,Centre Forward,Left Centre Forward,England,34,183,0.52,0.48,0.36,0.14,2.58,19,43,5,100,0.47,0.1,0.13,0.86,0.1,0.13,0.86,0,0,0,0.57,0.49,3.44,0.09,0.86,0.29,0.57,33,0.76,0,1.43,3.29,0.43,0.41,0.81,0.67,20.42,7.44,0.01,5.2,59.86,4.72,6.44,1.48,1.91,76,1.22,1.63,1.96,44,0.48,55,8.06,0,17.03,12.82,4.25,4.49,1.43,62.85,12.79,75,3.77,84,0.19,0,0.05,22.9,53,0.95,19,54,1.38,1.19,41,43,-9,66.94,1.91,0.53,0.78,13.31,80,6.08,8.3,0.67,0.67,0,0.57,8.06,8.73,0.05,43,0.48,48,1.1,25,63,12,14,67,18,16.81,16.03,1.04,109,-0.78,17.4,17.55
