Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length
Declan Phillips,Bedford Town,337,Right Wing,Right Defensive Midfielder,England,,,0,0,21,3,48,0,55,24,0,22,0,42,40,0,46,44,0,0,0,0,28,43,19,65,81,37,88,63,0,43,41,69,20,35,11,79,82,53,91,46,52,30,86,79,51,21,18,77,8,18,76,60,100,80,11,98,51,99,40,55,42,42,34,22,100,100,11,2,23,75,9,25,35,81,9,69,70,8,16,14,8,41,78,28,69,68,76,71,66,64,0,12,78,93,58,72,12,71,1,97,76,37,27,16,98,22,25,51
Declan Rose,AFC Totton,2366,Right Back,Right Wing Back,England,24.0,,0,0,26,4,56,0,31,42,0,28,89,87,87,65,74,64,97,95,94,64,60,68,64,43,48,40,68,20,0,69,71,45,53,77,80,13,13,76,42,27,74,89,27,31,43,31,37,70,17,64,71,70,100,14,16,37,25,64,31,25,40,27,34,22,100,100,66,9,87,11,23,81,93,37,25,74,50,84,42,45,48,77,27,62,92,74,95,45,31,42,88,50,80,30,43,85,8,53,73,22,52,89,81,14,15,11,86,74
Declan Weeks,Chester,2567,Right Centre Midfielder,Right Defensive Midfielder,Wales,30.0,,41,43,35,10,57,36,33,48,0,36,87,90,97,84,83,97,91,94,92,67,65,82,60,34,36,35,58,43,0,35,66,30,32,57,53,69,64,56,93,60,99,96,77,50,48,79,55,66,17,23,46,51,100,69,65,99,92,99,60,68,66,90,58,55,100,100,85,37,84,20,49,56,88,43,37,45,60,94,86,77,70,70,21,92,95,94,92,76,44,60,81,61,79,77,69,64,38,46,65,45,37,68,37,36,91,3,67,51
Deegan Atherton,Worksop Town FC,1499,Right Back,Right Centre Back,England,27.0,,0,0,22,38,19,0,78,67,0,21,0,27,40,0,28,44,0,0,0,0,18,28,28,11,10,18,29,10,0,68,72,65,52,88,82,49,67,81,96,24,90,99,92,82,63,71,59,84,70,22,83,86,13,45,30,98,47,98,20,29,23,37,29,43,100,100,59,10,81,26,20,90,90,47,19,60,35,93,44,39,23,68,8,59,78,79,78,31,14,32,0,12,84,61,23,92,4,34,83,13,46,87,82,15,52,25,83,86
Demico Burton,Leamington FC,1601,Left Back,Left Wing,England,23.0,180.0,0,0,55,65,45,0,16,43,0,31,0,39,26,0,42,27,0,0,0,0,45,33,8,50,52,51,52,68,0,9,48,53,30,79,66,67,73,80,96,27,55,77,95,81,86,63,43,52,70,42,60,76,14,62,25,98,65,99,24,36,27,42,21,65,100,100,8,0,24,80,4,77,42,61,2,80,36,31,4,8,3,26,98,15,39,27,74,30,54,45,54,21,46,28,34,93,4,32,12,98,45,67,33,17,92,3,59,48
Deniche Hill,Buxton,867,Left Back,Left Wing Back,Bermuda,22.0,173.0,0,0,14,64,9,0,0,75,0,0,0,44,21,0,48,22,0,0,0,0,25,10,21,54,61,48,68,86,0,19,58,81,84,73,83,47,36,34,88,31,52,84,93,91,87,97,95,85,24,47,62,55,100,43,65,95,46,99,25,31,26,43,46,35,100,100,42,60,33,77,51,71,30,29,29,15,37,59,38,34,31,48,88,52,15,17,0,0,12,9,72,100,0,0,0,74,6,85,59,20,82,34,70,57,15,93,36,56
Dennon Lewis,Dorking Wanderers FC,2969,Left Wing Back,Left Midfielder,England,29.0,178.0,67,69,76,59,77,49,88,18,0,86,94,99,96,79,96,91,98,98,96,84,93,92,11,51,46,59,29,14,0,24,37,16,19,43,51,15,8,23,26,76,50,23,19,16,93,33,23,91,57,91,67,48,100,19,36,56,55,98,82,45,80,65,80,62,100,100,33,2,46,57,5,45,75,69,10,72,98,51,71,85,36,39,99,68,95,92,94,88,75,80,77,17,98,35,86,21,58,80,23,26,96,70,51,11,48,8,57,49
Deon Moore,Maidstone United,2301,Centre Forward,Left Centre Forward,England,27.0,179.0,86,88,91,95,73,86,94,13,0,95,84,85,82,87,90,90,0,0,0,89,92,76,50,34,34,38,48,53,88,16,19,20,18,15,17,66,43,20,79,99,43,5,10,12,25,11,12,32,4,83,26,91,100,74,64,98,82,99,99,98,99,94,96,49,100,100,16,11,3,63,19,9,3,97,23,64,99,18,84,88,9,11,81,69,40,45,0,96,91,89,0,100,45,33,97,13,59,87,7,58,94,7,19,90,55,81,9,17
Dermi Lusala,Dagenham & Redbridge,1797,Right Wing Back,Right Back,England,23.0,185.0,73,75,62,80,46,92,40,42,0,55,0,52,72,0,57,77,0,60,66,57,56,54,49,53,45,63,17,61,0,22,52,41,41,67,62,75,79,47,93,41,82,86,83,61,75,78,59,74,83,42,56,67,100,76,61,98,53,99,41,55,45,51,51,70,100,100,33,24,49,11,46,70,44,69,29,50,54,33,43,46,27,38,54,51,74,86,0,54,55,61,0,13,84,82,42,75,13,64,49,21,89,61,60,38,70,37,60,68
Devante Stanley,Hemel Hempstead Town,2212,Right Back,Right Wing Back,England,29.0,,0,0,18,37,15,0,17,64,0,18,0,66,37,0,71,41,0,0,0,0,43,24,9,30,38,25,84,16,0,50,74,43,38,73,70,26,24,40,56,28,78,93,63,48,89,48,39,84,76,73,67,38,100,27,25,80,34,92,24,26,25,30,27,18,100,100,48,4,60,4,5,72,88,19,16,77,56,92,43,33,29,66,92,61,79,81,79,47,15,34,64,36,72,60,27,93,4,34,74,21,53,85,70,8,29,6,73,66
