Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length
A . Grout,Eastbourne Borough,2235,Right Centre Midfielder,Right Attacking Midfielder,England,,,2,2,1.66,0.06,26,8,27,2,,1.48,1,2.33,21,1,2.21,19,0,0.13,2,3,4,47,-1,23,15,8,65,13,0,35,47,17,19.35,16,18.32,531,216,0,159,49.95,188,288,32,49,74,35.79,55.14,16,44,11,44,30,0,484,499.33,136,155,42,51.45,264,55,117,75,1,0,0,654,69,44,12,50,35,69,23,62,-7,57.65,65,6.87,9.11,498,91,5.84,198,22,16,6,5,45,61,2,27,8,32,10,24,59,17,20,66,14,19.78,16.99,0.99,107,-2.79,19.53,18.18
A.Crowther,Leamington FC,1816,Right Centre Back,Left Centre Back,England,22,190,0,0,0.57,0.09,6,0,50,0,,0.36,0,0.33,4,0,0.33,4,0,0,0,0,0.9,10,-0.9,4,2,2,50,10,0,3,4,19,6.49,142,85.91,247,117,0.08,159,23.69,21,251,33,52,72,24.72,31.22,12,28,13,54,61,1,204,133.66,96,60,24,28.2,29,14,22,37,2,0,0,527,57,43,15,27,161,140,17,58,1,35.87,39,1.09,1.66,286,99,4.88,45,1,1,0,3,25,26,1,100,1,33,4,51,44,5,47,47,7,27.96,23.38,0.8,81,-4.58,22.47,18.95
A.Lafleur,Chesham United FC,1217,Left Wing Back,Left Centre Back,England,26,,1,1,0.66,0.05,14,7,7,1,,0.54,2,1,9,2,1,9,0,0,0,3,1.66,23,1.34,20,12,8,60,13,1,11,18,17,16.15,24,24.01,206,84,0.05,70,40.4,59,128,19,36,70,18.72,34.87,16,13,8,37,17,1,171,170.97,51,48,14,46.32,79,46,41,85,2,0,0,422,63,25,84,36,29,65,17,51,-13,57.62,42,4.16,5.39,365,96,5.22,118,17,16,1,2,32,48,1,35,9,24,3,31,54,15,21,59,19,20.45,13.27,0.88,102,-7.18,18.06,13.56
A.Young,Chesham United FC,2886,Centre Back,Left Centre Back,England,29,188,1,1,1.35,0.34,4,25,25,0,,0.99,0,0.23,4,0,0.19,3,0,0.04,1,1,1.58,8,-0.58,12,10,2,83,13,1,10,10,17,16.86,98,89.56,220,93,0.06,131,23.15,33,329,24,41,83,22.01,38.87,17,75,5,52,53,3,179,178.04,82,30,16,27.72,23,13,7,23,5,0,1,1174,89,63,8,61,106,96,15,84,-5,30.65,28,8.8,9.61,902,99,5.23,40,4,4,0,3,29,33,0,0,0,,5,25,71,4,25,70,5,19.69,16.94,0.96,102,-2.75,18.96,17.27
Ángelo Balanta,AFC Hornchurch,2370,Centre Attacking Midfielder,Centre Forward,Colombia,35,179,15,15,8.55,0.13,68,22,37,4,,10.75,2,4.07,30,2,4.07,30,0,0,0,17,12.63,98,4.37,10,6,4,60,13,0,48,69,9,6.66,20,18.41,349,109,0.03,115,58.16,133,213,10,19,59,6.5,13.16,12,22,7,35,68,0,327,280.12,94,98,26,62.26,232,71,84,86,0,0,0,783,66,31,15,49,39,44,31,63,-4,63.25,73,15.12,21.26,580,89,4.86,286,43,43,0,12,168,211,7,12,9,35,18,26,56,18,26,54,21,16.57,16,0.96,96,-0.58,15.96,15.4
Aaron Cosgrave,Ebbsfleet United,1407,Centre Forward,Left Centre Forward,England,26,185,2,2,3.47,0.17,20,10,35,3,,2.8,0,0.76,13,0,0.76,13,0,0,0,2,4.22,33,-2.22,13,8,5,62,20,0,48,71,1,0.95,1,1.58,401,142,0,89,67.99,31,49,8,9,42,9.05,9.99,22,8,11,5,3,0,374,443.49,80,82,24,68.14,317,85,77,94,2,0,0,207,78,5,21,63,3,6,38,75,-3,71.14,19,4.26,6.98,266,70,7.36,111,5,5,0,9,87,92,0,0,1,10,19,8,67,25,8,63,29,13.13,11.54,0.99,100,-1.59,13.05,11.53
Aaron Haper-Bailey,Oxford City,594,Left Centre Back,Centre Back,England,24,194,0,0,0.34,0.09,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.34,4,-0.34,4,2,2,50,2,0,3,4,6,4.82,60,52.57,56,23,0.04,36,17.87,9,96,10,16,91,11.3,16.12,7,100,1,73,35,0,39,38.39,17,4,2,20.76,3,8,2,50,1,0,0,268,76,27,71,47,70,47,20,62,-14,31.63,6,1.51,1.65,197,97,5.85,6,0,0,0,0,6,6,0,,0,,0,36,61,3,67,33,0,24.98,22.08,0.91,92,-2.89,22.66,20.3
Aaron Henry,AFC Hornchurch,607,Right Defensive Midfielder,Centre Defensive Midfielder,England,22,175,1,1,0.46,0.03,14,7,21,2,,1.25,1,0.79,11,1,0.33,5,0,0.46,6,2,1.25,25,0.75,0,0,0,,2,0,5,2,10,9.09,13,12.92,118,52,0.01,41,38.64,42,96,10,20,63,8.47,17.56,4,50,6,45,10,0,104,84.14,31,31,9,40.77,34,33,16,52,1,0,0,268,63,42,15,37,28,98,13,55,-8,49.24,39,1.94,2.46,178,97,3.81,53,21,9,12,0,0,9,1,14,3,30,0,35,59,5,42,55,4,30.74,29.85,0.8,71,-0.88,24.7,21.34
Aaron Lacey,Hampton & Richmond,471,Right Back,Right Centre Back,England,19,187,2,2,0.24,0.05,5,40,60,1,,1.17,0,0,0,0,0,0,0,0,0,2,0.24,5,1.76,6,4,2,67,4,0,1,5,8,6.5,15,11.77,75,26,0.03,31,31.69,17,84,7,15,70,5.7,12.2,4,25,3,63,20,0,64,54.61,22,15,7,35.5,18,28,11,73,0,0,0,153,62,10,10,26,20,33,17,55,-7,41.08,11,1.23,1.27,96,95,4.27,20,4,2,2,0,13,15,0,0,0,0,1,40,54,6,35,50,15,24.64,17.94,0.81,90,-6.7,19.97,16.18
Aaron Martin,Worksop Town FC,1886,Centre Forward,Left Centre Forward,England,34,183,11,10,7.44,0.14,54,19,43,5,100,9.85,2,2.76,18,2,2.76,18,0,0,0,12,10.21,72,1.79,18,6,12,33,16,0,30,69,9,8.54,17,14.09,428,156,0.01,109,59.86,99,135,31,40,76,25.66,34.2,41,44,10,55,169,0,357,268.64,89,94,30,62.85,268,75,79,84,4,0,1,480,53,20,19,54,29,25,41,43,-9,66.94,40,11.09,16.36,279,80,6.08,174,14,14,0,12,169,183,1,43,10,48,23,25,63,12,14,67,18,16.81,16.03,1.04,109,-0.78,17.4,17.55
