Player,Minutes played,"Accurate passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90,Aerial duels per 90
J. van Stappershoef,3767,71.71,35,0.84,140,3.34,14,75,43.58,1.04,8.58,0.205,1.79,0.31
S. Howes,3183,82.15,30,0.85,120,3.39,14,75,30.11,0.85,0.11,0.003,1.7,0.45
N. Harness,3189,71.75,32,0.9,122,3.44,12,73.77,34.85,0.98,2.85,0.08,1.69,0.45
M. Johnson,4389,72.55,45,0.92,157,3.22,19,71.34,44.38,0.91,-0.62,-0.013,1.25,0.55
C. Dibble,3996,80,43,0.97,129,2.91,15,66.67,32.62,0.73,-10.38,-0.234,1.51,0.34
M. Harris,4290,70.89,48,1.01,157,3.29,16,69.43,41.19,0.86,-6.81,-0.143,1.05,0.19
T. Watson,2390,82.36,27,1.02,90,3.39,6,70,26.85,1.01,-0.15,-0.006,2,0.64
Z. Jones,3450,86.42,39,1.02,140,3.65,10,72.14,43.03,1.12,4.03,0.105,1.23,0.44
B. Goode,4524,73.46,53,1.05,177,3.52,10,70.06,56.2,1.12,3.2,0.064,2.61,0.97
L. Carey,3879,82.05,46,1.07,140,3.25,10,67.14,40.95,0.95,-5.05,-0.117,1.25,0.28
R. Whitley,4577,64.93,55,1.08,211,4.15,12,73.93,58.82,1.16,3.82,0.075,2.2,0.51
J. Jeffries,2412,82.83,29,1.08,85,3.17,6,65.88,28.75,1.07,-0.25,-0.009,1.34,0.3
A. Chapman,1976,76.38,25,1.14,63,2.87,7,60.32,17.56,0.8,-7.44,-0.339,1.46,0.41
J. Young,2693,78.4,34,1.14,129,4.31,9,73.64,36.83,1.23,2.83,0.095,2.01,0.5
H. Foulkes,4371,86.61,56,1.15,183,3.77,9,69.4,48.37,1,-7.63,-0.157,2.06,0.68
J. Gracey,2969,74.29,38,1.15,146,4.43,8,73.97,39.04,1.18,1.04,0.032,1.15,0.42
J. Hamon,4302,79.79,56,1.17,173,3.62,11,67.63,52.39,1.1,-3.61,-0.076,1.28,0.27
H. Wiles-Richards,3173,74.21,42,1.19,124,3.52,9,66.13,40.39,1.15,-1.61,-0.046,1.62,0.6
M. Urwin,4438,75.37,59,1.2,174,3.53,10,66.09,59.79,1.21,0.79,0.016,1.12,0.26
N. Ashmore,3172,74.56,43,1.22,166,4.71,11,74.1,49.52,1.41,6.52,0.185,1.82,0.57
A. Nasta,3971,65.02,54,1.22,190,4.31,10,71.58,59.9,1.36,5.9,0.134,2.06,0.66
C. Haigh,2255,75.88,31,1.24,95,3.79,7,67.37,25.33,1.01,-5.67,-0.226,1.68,0.48
R. Gosney,2397,79.09,33,1.24,131,4.92,6,74.81,39.77,1.49,6.77,0.254,1.73,0.53
M. Hall,2587,77.36,36,1.25,101,3.51,6,64.36,29.6,1.03,-6.4,-0.223,1.53,0.59
G. Murray-Jones,2285,73.13,32,1.26,105,4.14,4,69.52,30.96,1.22,-1.04,-0.041,2.17,0.51
W. Buse,4299,79.14,60,1.26,204,4.27,12,70.59,62.78,1.31,2.78,0.058,1.42,0.57
F. Barnsley,2179,60.77,31,1.28,103,4.25,7,69.9,29.06,1.2,-1.94,-0.08,2.19,0.7
M. Dearnley,2799,82.14,40,1.29,128,4.12,4,68.75,38.67,1.24,-1.33,-0.043,1.35,0.51
M. Hewelt,3503,74.96,51,1.31,171,4.39,7,70.18,44.77,1.15,-6.23,-0.16,1.54,0.75
B. Jones,2641,75.59,39,1.33,117,3.99,8,66.67,33.36,1.14,-5.64,-0.192,1.91,0.44
C. Renshaw,4228,75.34,65,1.38,196,4.17,8,66.84,61.17,1.3,-3.83,-0.082,1.92,0.66
M. Rowley,2673,77.69,41,1.38,135,4.55,9,69.63,45.19,1.52,4.19,0.141,1.25,0.27
M. Walker,4001,68.74,62,1.39,243,5.47,7,74.49,71.13,1.6,9.13,0.205,1.73,0.76
James Holden,2157,73.4,34,1.42,115,4.8,4,70.43,31.72,1.32,-2.28,-0.095,2.17,0.96
A. Desbois,3308,65.13,53,1.44,185,5.03,9,71.35,58.64,1.6,5.64,0.153,2.01,0.44
R. Ravenhill,2692,70.24,43,1.44,148,4.95,5,70.95,44.51,1.49,1.51,0.05,1.47,0.67
B. James,3314,78.27,54,1.47,168,4.56,11,67.86,54.96,1.49,0.96,0.026,2.04,0.57
L. Forshaw,1887,69.7,31,1.48,100,4.77,6,69,29.09,1.39,-1.91,-0.091,2.29,0.57
P. Jameson,2735,86.66,45,1.48,141,4.64,4,68.09,42.26,1.39,-2.74,-0.09,1.41,0.3
C. Hawkins,3895,73.18,64,1.48,237,5.48,7,73,72.33,1.67,8.33,0.192,2.43,0.72
S. Lewis,1891,81.33,32,1.52,95,4.52,3,66.32,26.22,1.25,-5.78,-0.275,1.62,0.48
W. Henry,4684,81.92,81,1.56,243,4.67,9,66.67,77.2,1.48,-3.8,-0.073,2.29,0.88
P. Crook,3833,75.99,67,1.57,204,4.79,10,67.16,61.29,1.44,-5.71,-0.134,2,0.7
H. Burgoyne,1772,70.52,32,1.63,93,4.72,3,65.59,28.98,1.47,-3.02,-0.153,1.32,0.51
T. Taylor,1781,72.77,33,1.67,85,4.3,3,61.18,27.65,1.4,-5.35,-0.27,1.41,0.66
T. Richardson,4054,75.64,75,1.67,218,4.84,6,65.6,61.37,1.36,-13.63,-0.303,0.98,0.29
J. Turner,3169,66.95,61,1.73,173,4.91,5,64.74,57.2,1.62,-3.8,-0.108,1.7,0.43
J. Cogman,3178,85.04,61,1.73,197,5.58,7,69.04,63.04,1.79,2.04,0.058,2.72,0.96
J. Wright,2152,65.57,40,1.75,103,4.51,3,61.17,32.81,1.44,-7.19,-0.315,1.27,0.39
E. Brearey,2082,71.13,44,1.9,136,5.88,1,67.65,43.05,1.86,-0.95,-0.041,1.43,0.52
League Avg,3190.84,75.38,45.2,1.2988,147.72,4.2062,8.18,69.0426,44.1846,1.2582,-1.0154,-0.04008,1.7036,0.5324
